THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
68652,"REAVE",Y,"A stone wall, often of considerable length, built to divide an area of land. Most occur as part of extensive walled field systems. This is a regional term specific to Dartmoor and should not be used in other parts of the country.",1,P,"-"
68653,"VILLA",Y,"A term for a type of house, with varying definitions according to period. Roman villas were high-status and usually associated with a rural estate, whereas Georgian and later period villas were often semi-detached, town houses.",1,P,"-"
68654,"VINEYARD",Y,"An area of land and associated buildings where vines are cultivated. The grapes produced are then used to make wine.",1,P,"-"
68655,"WATERCRESS BED",Y,"A cultivated plantation of watercress, usually situated near springs or small running streams.",1,P,"-"
68656,"WOOD",Y,"A tract of land with trees, sometimes acting as a boundary or barrier, usually smaller and less wild than a forest.",1,P,"-"
68657,"WOOD BANK",Y,"An earthen bank indicating the limit of a wood or coppice",1,P,"-"
68658,"OYSTER BEDS",Y,"A place where oysters are bred for consumption.",1,P,"-"
68659,"PILLOW MOUND",Y,"A pillow-shaped, flat topped rectangular mound often surrounded by a shallow ditch used to farm rabbits.",1,P,"-"
68660,"POUND",Y,"A pen, often circular and stone-walled, for rounding up livestock.",1,P,"-"
68661,"RABBIT WARREN",Y,"An area used for the breeding and rearing of rabbits.",1,P,"-"
68662,"SHEEP DIP",Y,"A place where sheep are washed in a chemical bath to control  the parasites of sheep. To conserve the poisonous chemicals the bath is usually small and are not allowed to enter any watercourse.",1,P,"-"
68663,"SHEEP FOLD",Y,"A pen or enclosure used for containing sheep.",1,P,"-"
68664,"SHELL MIDDEN",Y,"A refuse heap of discarded shells.",1,P,"-"
68665,"STACK STAND",Y,"A platform for storing winter fodder.",1,P,"-"
68666,"STADDLE STONE",Y,"Mushroom-shaped stones used to raise the floor of barns, granaries etc. above ground level, to prevent vermin gaining access to stored grain and fodder.",1,P,"-"
68667,"STOCK ENCLOSURE",Y,"A pound for the accommodation of livestock.",1,P,"-"
68668,"STORAGE PIT",Y,"A pit dug in the ground used to store meat, grain and other foodstuffs. A common feature of Iron Age farms.",1,P,"-"
68669,"GRAIN STORAGE PIT",Y,"A pit where grain is stored.",1,P,"-"
68670,"SWANNERY",Y,"A place where swans are bred and reared.",1,P,"-"
68671,"THRESHING FLOOR",Y,"An area of a barn, paved or boarded, on which corn was threshed by hand flailing. Use broader site type where known.",1,P,"-"
68672,"TURF STACK",Y,"A structure used to dry turf on. Turves were used as a fuel and as a roofing material.",1,P,"-"
68673,"VERMIN TRAP",Y,"A device used to trap or kill animals considered to be pests, eg. rats.",1,P,"-"
