THE_TE_UID_1,THE_TE_UID_2
92524,88215
93530,88215
93531,88215
93108,88215
92184,88215
91562,88556
92535,88556
92961,90115
91638,90115
91024,90115
91263,90116
92251,90116
92124,90116
103875,90197
87771,90198
87678,90198
71800,90199
92201,90214
87708,90291
91208,90322
91884,90322
92875,90322
92676,90322
92678,90322
93849,90322
71672,90421
87748,90519
103973,90949
93387,90987
164181,90990
91625,91006
167067,91013
91029,91030
91385,91041
100535,91041
100536,91041
91766,91045
91404,91046
92275,91046
91283,91059
92731,91068
119513,91082
162976,91085
71570,91085
91096,91095
91100,91099
70141,91101
91110,91104
91121,91120
91128,91127
91129,91127
92888,91127
91151,91156
91236,91180
84616,91180
93661,91180
100219,91184
141989,91193
91397,91220
93476,91228
71552,91228
68847,91237
91999,91239
91247,91246
91248,91246
162971,91259
162972,91259
162973,91259
69054,91279
70610,91279
91284,91285
80443,91285
162977,91285
100544,91292
91291,91292
83352,91296
93524,91296
93067,91296
93069,91296
94326,91296
93502,91322
92199,91322
91317,91322
70258,91322
70230,91335
91345,91346
92174,91348
91793,91352
93543,91352
164124,91354
167068,91355
94088,91370
93616,91383
142091,91386
91616,91389
91408,91409
91420,91418
91421,91418
91422,91418
71544,91430
92497,91450
92947,91452
133573,91455
91606,91476
91480,91477
92371,91490
151892,91497
162955,91498
93703,91509
92057,91509
92427,91511
93869,91511
83243,91516
69405,91516
94085,91526
146399,91528
146400,91528
146401,91528
146402,91528
70418,91528
91527,91528
159129,91532
159130,91532
82893,91540
163012,91548
91551,91550
91566,91563
92297,91563
93029,91563
93669,91563
