section,source_uri,source_label,target_label,target_uri,match,skos_predicate
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtkup1vSkwAZ,millet,Millettia (genus),http://vocab.getty.edu/aat/300400462,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtsyYSjFJeJ3,milliaire,milestones,http://vocab.getty.edu/aat/300006973,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtuVBFofOdjD,mine,mines (extracting complexes),http://vocab.getty.edu/aat/300000390,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt5bIL1UtwcT,minerai,ore,http://vocab.getty.edu/aat/300152583,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrty2mcsksa6s,minéral,mineral,http://vocab.getty.edu/aat/300011068,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt73IP4tSAfK,Minerve,goddesses,http://vocab.getty.edu/aat/300343852,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtb30B513JzE,miroir,looking glasses,http://vocab.getty.edu/aat/300037690,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtm0wNp3ZYm9,mise en scène,spectacles (performances),http://vocab.getty.edu/aat/300379280,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtEznNgQ3h63,mobilier,furnishings (artifacts),http://vocab.getty.edu/aat/300037336,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtzAt433wDSZ,mobilier funéraire,grave goods,http://vocab.getty.edu/aat/300180706,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtgHrkHykmek,mode de production,economy,http://vocab.getty.edu/aat/300389790,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtIfW45Oj2Fb,mode de résidence,dwellings,http://vocab.getty.edu/aat/300005425,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtUbQwxQM8Q8,modélisation,computer science,http://vocab.getty.edu/aat/300054575,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtEklsyTYoVi,moellon,rubble,http://vocab.getty.edu/aat/300011693,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTN5hnP2dGJ,molette,roulettes (engraving tools),http://vocab.getty.edu/aat/300022774,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt4jqSXocNLw,mollusque,Mollusca (phylum),http://vocab.getty.edu/aat/300266510,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtxAh3LEGcFT,momie,mummies (bodies),http://vocab.getty.edu/aat/300262951,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtwE5STw4SDe,monastère,monasteries (built complexes),http://vocab.getty.edu/aat/300000641,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtaDZQlTT0S8,monnaie,coins (money),http://vocab.getty.edu/aat/300037222,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtoJNY2x1kSq,monnaie carolingienne,Later Western World coins,http://vocab.getty.edu/aat/300194573,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtU85GM9JnPj,monnaie celtique,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtQ6SIFubMD6,monnaie du Bas- Empire,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtLNs0gPSXrA,monnaie du Haut- Empire,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtb1ZjhINTB9,monnaie gallo-celtique,Early Western World,http://vocab.getty.eceltiquecoinsdu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtw8Gr55mWQj,monnaie gauloise,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtROhN84ILNW,monnaie grecque,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtwqW8eGs8Jp,monnaie impériale,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrthusOdSrtKO,monnaie médiévale,Later Western World coins,http://vocab.getty.edu/aat/300194573,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtDJJQDtIzgN,monnaie mérovingienne,Later Western World coins,http://vocab.getty.edu/aat/300194573,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtjzkyEUKpHJ,monnaie moderne,Later Western World coins,http://vocab.getty.edu/aat/300194573,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtvtoognkHPG,monnaie punique,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtNv9EEafPRv,monnaie Renaissance,Later Western World coins,http://vocab.getty.edu/aat/300194573,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtsN2awl2Gju,monnaie républicaine,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt2AiEKgttQQ,monnaie romaine,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtA02smYErrV,monnaie wisigothique,Early Western World coins,http://vocab.getty.edu/aat/300194572,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtup4sulBl7v,monnayage,minting,http://vocab.getty.edu/aat/300206581,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt28fUXAVb3Z,montagne,mountains,http://vocab.getty.edu/aat/300008795,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtZQS76tcoZi,mors,bits (bridle components),http://vocab.getty.edu/aat/300248085,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtNb90Egda4H,mort,deaths,http://vocab.getty.edu/aat/300151836,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt5G8Zu1vuaw,mort violente,murders,http://vocab.getty.edu/aat/300069676,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTEWIXPM7Br,mortier (récipient),mortars (grinding tools),http://vocab.getty.edu/aat/300024724,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtEWWJvOVoh5,mortier de chaux,mortar (filler),http://vocab.getty.edu/aat/300014741,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtEWWJvOVoh5,mortier de construction,mortar (filler),http://vocab.getty.edu/aat/300014741,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtUxTj7SSjjU,mortier peint,mortar (filler),http://vocab.getty.edu/aat/300014741,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtUcrzzSFY50,mosaïque,mosaics (visual works),http://vocab.getty.edu/aat/300015342,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtLZ1el2MnOP,mosaïque géométrique,mosaics (visual works),http://vocab.getty.edu/aat/300015342,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtFPA0Zqg3Yz,motif décoratif,motifs,http://vocab.getty.edu/aat/300009700,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtUWW1jdmNbs,motif géométrique,geometric motifs,http://vocab.getty.edu/aat/300009764,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtBDFoDRAo75,motif végétal,plant-derived motifs,http://vocab.getty.edu/aat/300164599,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt5nrxWObFLg,motte,mottes,http://vocab.getty.edu/aat/300175482,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtw9lK8RSghm,mouillage,berths (waterfront spaces),http://vocab.getty.edu/aat/300007927,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtIqlYdSxj6I,moule de potier,molds (shaping tools),http://vocab.getty.edu/aat/300024814,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtnfa1jFbfKD,moule monétaire,molds (shaping tools),http://vocab.getty.edu/aat/300024814,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtLSXO163Odc,moule pour métal,molds (shaping tools),http://vocab.getty.edu/aat/300024814,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtZpxVcg7sSA,moulin,mills (buildings),http://vocab.getty.edu/aat/300264626,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt6oKbFdZxqF,moulin à eau,water mills,http://vocab.getty.edu/aat/300006270,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtLuTRnnPFJp,moulin à vent,windmills,http://vocab.getty.edu/aat/300006273,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt98n6h95hof,moulure,molding (forming),http://vocab.getty.edu/aat/300053134,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtDtJwUVaZ0I,mouton,Ovis aries (species),http://vocab.getty.edu/aat/300404156,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtbxdVAk7uVQ,mouture,milling (metalworking),http://vocab.getty.edu/aat/300053155,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTPJFzJTZNm,mouvement de population,migrations (events),http://vocab.getty.edu/aat/300263931,skos:narrowMatch,narrowMatch
